№      A      B      Выигрыш A (x1,x2,x3)      Проигрыш B (y1,y2,y3)     v_up     v_low   
229    x1     y1     2276, 2260, 2078          2133, 2316, 2260          9.9389   9.3144  
230    x1     y1     2285, 2261, 2095          2142, 2326, 2273          9.9348   9.3130  
231    x1     y1     2294, 2262, 2112          2151, 2336, 2286          9.9307   9.3117  
232    x1     y1     2303, 2263, 2129          2160, 2346, 2299          9.9267   9.3103  
233    x1     y1     2312, 2264, 2146          2169, 2356, 2312          9.9227   9.3090  
234    x1     y1     2321, 2265, 2163          2178, 2366, 2325          9.9188   9.3077  
235    x1     y1     2330, 2266, 2180          2187, 2376, 2338          9.9149   9.3064  
236    x1     y1     2339, 2267, 2197          2196, 2386, 2351          9.9110   9.3051  
237    x1     y1     2348, 2268, 2214          2205, 2396, 2364          9.9072   9.3038  
238    x1     y1     2357, 2269, 2231          2214, 2406, 2377          9.9034   9.3025  
239    x1     y1     2366, 2270, 2248          2223, 2416, 2390          9.8996   9.3013  
240    x1     y1     2375, 2271, 2265          2232, 2426, 2403          9.8958   9.3000  
241    x1     y1     2384, 2272, 2282          2241, 2436, 2416          9.8921   9.2988  
242    x1     y1     2393, 2273, 2299          2250, 2446, 2429          9.8884   9.2975  
243    x1     y1     2402, 2274, 2316          2259, 2456, 2442          9.8848   9.2963  
244    x1     y1     2411, 2275, 2333          2268, 2466, 2455          9.8811   9.2951  
245    x1     y1     2420, 2276, 2350          2277, 2476, 2468          9.8776   9.2939  
246    x1     y1     2429, 2277, 2367          2286, 2486, 2481          9.8740   9.2927  
247    x1     y1     2438, 2278, 2384          2295, 2496, 2494          9.8704   9.2915  
248    x1     y1     2447, 2279, 2401          2304, 2506, 2507          9.8669   9.2903  
249    x1     y1     2456, 2280, 2418          2313, 2516, 2520          9.8635   9.2892  
250    x1     y1     2465, 2281, 2435          2322, 2526, 2533          9.8600   9.2880  
251    x1     y1     2474, 2282, 2452          2331, 2536, 2546          9.8566   9.2869  
252    x1     y1     2483, 2283, 2469          2340, 2546, 2559          9.8532   9.2857  
253    x1     y1     2492, 2284, 2486          2349, 2556, 2572          9.8498   9.2846  
254    x1     y1     2501, 2285, 2503          2358, 2566, 2585          9.8543   9.2835  
255    x3     y1     2510, 2286, 2520          2375, 2570, 2585          9.8824   9.3137  
256    x3     y1     2519, 2287, 2537          2392, 2574, 2585          9.9102   9.3438  
257    x3     y1     2528, 2288, 2554          2409, 2578, 2585          9.9377   9.3735  
258    x3     y1     2537, 2289, 2571          2426, 2582, 2585          9.9651   9.4031  
259    x3     y1     2546, 2290, 2588          2443, 2586, 2585          9.9923   9.4324  
260    x3     y1     2555, 2291, 2605          2460, 2590, 2585          10.0192  9.4615  
261    x3     y1     2564, 2292, 2622          2477, 2594, 2585          10.0460  9.4904  
262    x3     y1     2573, 2293, 2639          2494, 2598, 2585          10.0725  9.5191  
263    x3     y1     2582, 2294, 2656          2511, 2602, 2585          10.0989  9.5475  
264    x3     y1     2591, 2295, 2673          2528, 2606, 2585          10.1250  9.5758  
265    x3     y1     2600, 2296, 2690          2545, 2610, 2585          10.1509  9.6038  
266    x3     y1     2609, 2297, 2707          2562, 2614, 2585          10.1767  9.6316  
267    x3     y1     2618, 2298, 2724          2579, 2618, 2585          10.2022  9.6592  
268    x3     y1     2627, 2299, 2741          2596, 2622, 2585          10.2276  9.6455  
269    x3     y3     2640, 2310, 2741          2613, 2626, 2585          10.1896  9.6097  
270    x3     y3     2653, 2321, 2741          2630, 2630, 2585          10.1519  9.5741  
271    x3     y3     2666, 2332, 2741          2647, 2634, 2585          10.1144  9.5387  
272    x3     y3     2679, 2343, 2741          2664, 2638, 2585          10.0772  9.5037  
273    x3     y3     2692, 2354, 2741          2681, 2642, 2585          10.0403  9.4689  
274    x3     y3     2705, 2365, 2741          2698, 2646, 2585          10.0036  9.4343  
275    x3     y3     2718, 2376, 2741          2715, 2650, 2585          9.9673   9.4000  
276    x3     y3     2731, 2387, 2741          2732, 2654, 2585          9.9312   9.3659  
277    x3     y3     2744, 2398, 2741          2749, 2658, 2585          9.9061   9.3321  
278    x1     y3     2757, 2409, 2741          2758, 2668, 2598          9.9173   9.3453  
279    x1     y3     2770, 2420, 2741          2767, 2678, 2611          9.9283   9.3584  
280    x1     y3     2783, 2431, 2741          2776, 2688, 2624          9.9393   9.3714  
281    x1     y3     2796, 2442, 2741          2785, 2698, 2637          9.9502   9.3843  
282    x1     y3     2809, 2453, 2741          2794, 2708, 2650          9.9610   9.3972  
283    x1     y3     2822, 2464, 2741          2803, 2718, 2663          9.9717   9.4099  
284    x1     y3     2835, 2475, 2741          2812, 2728, 2676          9.9824   9.4225  
285    x1     y3     2848, 2486, 2741          2821, 2738, 2689          9.9930   9.4351  
286    x1     y3     2861, 2497, 2741          2830, 2748, 2702          10.0035  9.4476  
